chainId,chainName,chainLogoURI,day1TxCount,day2TxCount,day3TxCount,day4TxCount,day5TxCount,day6TxCount,day7TxCount,weeklyTxCount,weeklyContractsDeployed,weeklyActiveAddresses
1216,"intersect L1","https://images.ctfassets.net/gcj8jwzm6086/4mDZ5q3a5lxHJcBLTORuMr/b47935fa6007cb3430acabef7e13e9ca/explorer.png",0,0,23,12,0,2,0,37,0,13
6533,"KALICHAIN","https://images.ctfassets.net/gcj8jwzm6086/62KzIedYATHGgRODAP5Py9/e290f4d8598ac8d30d80975a560cca8f/AvaCloud-512x512.png",582,1794,1900,1809,1822,1871,1811,11589,0,25
379,"KOROSHI L1","https://images.ctfassets.net/gcj8jwzm6086/62KzIedYATHGgRODAP5Py9/e290f4d8598ac8d30d80975a560cca8f/AvaCloud-512x512.png",1,7,5,2,12,4,4,35,0,7
10850,"Lamina1 Identity L1","https://images.ctfassets.net/gcj8jwzm6086/4ihNeP5Qo9diLy0y6ouG3L/8c656592cc45f820188fb647f1a178f2/L1-YouTube-Avatar.png",541,4290,4,4,12,5,2,4858,0,12
10849,"Lamina1 L1","https://images.ctfassets.net/gcj8jwzm6086/5KPky47nVRvtHKYV0rQy5X/e0d153df56fd1eac204f58ca5bc3e133/L1-YouTube-Avatar.png",202287,600726,602212,603045,602894,602181,602692,3816037,11,209131
50776,"Letsbuyhealthcare","https://images.ctfassets.net/gcj8jwzm6086/62KzIedYATHGgRODAP5Py9/e290f4d8598ac8d30d80975a560cca8f/AvaCloud-512x512.png",0,13,1,0,0,0,0,14,N/A,2
62521,"lucid","https://images.ctfassets.net/gcj8jwzm6086/62KzIedYATHGgRODAP5Py9/e290f4d8598ac8d30d80975a560cca8f/AvaCloud-512x512.png",0,0,0,0,0,0,0,0,0,0
5419,"Marnisa","https://images.ctfassets.net/gcj8jwzm6086/62KzIedYATHGgRODAP5Py9/e290f4d8598ac8d30d80975a560cca8f/AvaCloud-512x512.png",0,2,28,0,0,0,11,41,0,4
3454,"masa","",0,0,0,0,0,0,0,0,0,0
13396,"masanetwor","",0,0,0,0,0,0,0,0,0,0
333000333,"meld","",0,0,0,0,0,0,0,0,0,0
1888,"memoria","",0,0,0,0,5,1,2,8,0,4
74601,"mi0624t1ms","",0,0,0,0,0,0,0,0,0,0
53849,"mi0624t2ms","",0,0,0,0,0,0,0,0,0,0
50476,"mi0624t3ms","",0,0,0,0,0,0,0,0,0,0
87062,"mi0624t4ms","",0,0,0,0,0,0,0,0,0,0
29111,"mugen","",0,0,0,0,0,0,0,0,0,0
1188811,"numine","",0,0,0,0,0,0,0,0,0,0
8021,"NUMINE Mainnet","https://images.ctfassets.net/gcj8jwzm6086/411JTIUnbER3rI5dpOR54Y/3c0a8e47d58818a66edd868d6a03a135/numine_main_icon.png",37,216,200,360,108,90,103,1114,17,108
5041,"omochi","",0,0,0,0,0,0,0,0,0,0
5040,"onigiri","",0,0,0,0,0,0,0,0,0,0
58166,"oumla","https://images.ctfassets.net/gcj8jwzm6086/62KzIedYATHGgRODAP5Py9/e290f4d8598ac8d30d80975a560cca8f/AvaCloud-512x512.png",0,61,0,2,0,0,0,63,N/A,2
3011,"PLAYA3ULL GAMES L1","https://images.ctfassets.net/gcj8jwzm6086/27mn0a6a5DJeUxcJnZr7pb/8a28d743d65bf35dfbb2e63ba2af7f61/brandmark_-_square_-_Sam_Thompson.png",1487,3644,3524,3769,3575,3727,3962,23688,0,347
504441,"playdappne","",0,0,0,0,0,0,0,0,0,0
1080,"playthink","",0,0,0,0,0,0,0,0,0,0
16180,"PLYR PHI L1","https://images.ctfassets.net/gcj8jwzm6086/5K1xUbrhZPhSOEtsHoghux/b64edf007db24d8397613f7d9338260a/logomark_fullorange.svg",493,1478,1522,1514,1582,1518,1532,9639,9,76
357,"Pulsar L1","https://images.ctfassets.net/gcj8jwzm6086/5rAfnDh8ogkkEJ6ryvtUQQ/8f7d53e5d669702b8e0fc459a337ab94/logo512.png",279209,1252021,1063144,256153,1093782,1466216,1486883,6897408,0,1085
12150,"QChain","https://images.ctfassets.net/gcj8jwzm6086/62KzIedYATHGgRODAP5Py9/e290f4d8598ac8d30d80975a560cca8f/AvaCloud-512x512.png",3240,8499,32173,42236,41343,43585,43827,214903,5,31888
89043,"qi0207m1mp","",0,0,0,0,0,0,0,0,0,0
48394,"qr0108t1ms","",0,0,0,0,0,0,0,0,0,0
79807,"qr0203t1ms","",0,0,0,0,0,0,0,0,0,0
82728,"qr0203t2ms","",0,0,0,0,0,0,0,0,0,0
31215,"qr0211t1mp","",0,0,0,0,0,0,0,0,0,0
28461,"qr0211t1ms","",0,0,0,0,0,0,0,0,0,0
9850,"qr0318t1ms","",0,0,0,0,0,0,0,0,0,0
74719,"qr0408t1ms","",0,0,0,0,0,0,0,0,0,0
91792,"qr0523t1mp","",0,0,0,0,0,0,0,0,0,0
24127,"qr0527t1ms","",0,0,0,0,0,0,0,0,0,0
